,MovieCode,MovieName,CompanyName,BestScreenNum,BestScreenNum_sh,BestShare,TotalScreenNum,TotalAudienceNum
29,20178126,인시디어스4: 라스트 키,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,769,0.1358,0.1358,7893,545370
30,20178395,12 솔져스,(주)제이앤씨미디어그룹  ,211,0.0435,0.0435,2698,215563
31,20179228,마야2,(주)영화사 빅  Big Film,429,0.0762,0.0762,1446,55217
32,20178469,올 더 머니,판씨네마(주)  Pancinema Corp.,260,0.0498,0.0517,1480,49307
33,19980074,타이타닉,씨네힐  CINEHILL,94,0.0196,0.0196,94,394492
34,20189901,더 포리너,(주)더블앤조이픽쳐스  ,156,0.0323,0.0323,603,35694
35,20178672,패딩턴 2,(주)이수C&E  ,629,0.1224,0.1224,6964,320132
36,20189761,터닝메카드W: 반다인의 비밀 특별판,(주)제이앤씨미디어그룹  ,168,0.0327,0.0327,334,17689
37,20170841,리틀 포레스트,메가박스중앙(주)플러스엠  Megabox Plus M,884,0.1891,0.1891,18149,1500504
38,20170561,블랙 팬서,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1620,0.3007,0.3013,27212,5378683
39,20168250,골든슬럼버,씨제이이앤엠(주)  CJ ENM Corp.,833,0.1484,0.157,9975,1369546
40,20176121,흥부: 글로 세상을 바꾼 자,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",627,0.1117,0.1159,6000,404649
41,20078561,명탐정 코난:감벽의 관,씨제이이앤엠(주)  CJ ENM Corp.,487,0.0924,0.0924,5139,236035
42,20164844,불한당: 나쁜 놈들의 세상,씨제이이앤엠(주)  CJ ENM Corp.,58,0.0121,0.0121,58,941921
43,20177946,월요일이 사라졌다,(주)스마일이엔티  Smile Ent.,381,0.0815,0.0834,5596,882001
44,20180542,50가지 그림자: 해방,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,213,0.0453,0.0474,2065,194900
45,20173436,셰이프 오브 워터: 사랑의 모양,이십세기폭스코리아(주)  20th Century Fox Korea,404,0.086,0.086,7415,485227
46,20189882,반딧불이 딘딘,(주)박수엔터테인먼트  Boxoo Entertainment  ,274,0.0647,0.0647,544,29414
47,20150969,궁합,씨제이이앤엠(주)  CJ ENM Corp.,966,0.2051,0.2075,12839,1333293
48,20179731,나미야 잡화점의 기적,(주)이수C&E  ,532,0.1138,0.1138,3700,173513
49,20180341,레드 스패로,이십세기폭스코리아(주)  20th Century Fox Korea,389,0.0873,0.0896,2642,94790
50,20189861,더 포스트,CGV아트하우스  CGV ARTHOUSE,281,0.063,0.0643,2431,111760
51,20189663,게이트,(주)제이앤씨미디어그룹  ,208,0.0445,0.0447,1367,86552
52,20170669,지금 만나러 갑니다,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",1191,0.2524,0.2784,25701,2594517
53,20178781,사라진 밤,씨네그루(주)키다리이엔티  KIDARI ENT,925,0.2058,0.2099,14004,1309761
54,20178490,온리 더 브레이브,㈜코리아스크린  Korea Screen Inc.,301,0.0668,0.0754,1717,42780
55,20176070,플로리다 프로젝트,오드  AUD,126,0.028,0.0312,911,50720
56,20180564,툼레이더,워너브러더스 코리아(주)  Warner Bros. Korea,806,0.1788,0.1978,7983,530393
57,20172244,치즈인더트랩,(주)리틀빅픽쳐스  Little Big Pictures,364,0.078,0.0796,3910,226120
58,20180302,허리케인 하이스트,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,544,0.1174,0.1174,4659,211181
59,20180082,로건 럭키,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,256,0.0585,0.0585,747,10247
60,20178449,쓰리 빌보드,이십세기폭스코리아(주)  20th Century Fox Korea,110,0.0236,0.0238,1254,85357
61,20178522,콜 미 바이 유어 네임,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,192,0.0407,0.0454,3167,184226
62,20174603,퍼시픽 림: 업라이징,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,1145,0.2427,0.2719,11360,1068265
63,19900335,사랑과 영혼,(주)제이앤씨미디어그룹  ,12,0.003,0.003,12,14097
64,20173962,소공녀,CGV아트하우스  CGV ARTHOUSE,284,0.0705,0.0735,2135,43605
65,20180804,곤지암,(주)쇼박스  Showbox Corp,1124,0.2292,0.2429,20360,2672249
66,20154908,7년의 밤,씨제이이앤엠(주)  CJ ENM Corp.,872,0.1971,0.1971,8359,521564
67,20181366,미니특공대X,(주)삼지애니메이션  SAMG Animation,458,0.0983,0.0983,1763,95562
68,20153447,바람 바람 바람,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,985,0.195,0.2087,13745,1192907
69,20181561,덕구,메가박스중앙(주)플러스엠  Megabox Plus M,544,0.1072,0.1148,7274,305471
70,20171122,레디 플레이어 원,워너브러더스 코리아(주)  Warner Bros. Korea,1079,0.2207,0.2442,20298,2242447
71,20181621,막달라 마리아: 부활의 증인,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,111,0.0226,0.0259,816,21084
72,19720061,정무문,(주)영화사 빅  Big Film,11,0.0025,0.0025,11,9528
73,20165045,머니백,(주)리틀빅픽쳐스  Little Big Pictures,472,0.1041,0.1041,3013,49193
74,20178424,레이디 버드,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,345,0.0715,0.0793,2563,100692
75,20181788,콰이어트 플레이스,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",677,0.1286,0.1286,8429,519568
76,20182922,문호 스트레이독스 [데드 애플],(주)애니플러스  ANIPLUS,75,0.0168,0.0168,150,5624
77,20182021,번개맨과 신비의 섬,힘컨텐츠(주)  Him Contents,191,0.0376,0.0376,599,37905
78,20176917,램페이지,워너브러더스 코리아(주)  Warner Bros. Korea,909,0.174,0.1952,13000,1381837
79,20182323,임을 위한 행진곡,(주)알앤오엔터테인먼트  AI&O Entertainment,160,0.0358,0.0358,426,11054
80,20128386,라이프 오브 파이,주식회사 해리슨앤컴퍼니  Harrison & Company,84,0.0175,0.0181,356,1619762
81,20182352,"그날, 바다","(주)엣나인필름  Atnine Film Co., Ltd.",643,0.131,0.1424,12327,536545
82,20182221,스파키,예지림엔터테인먼트  ,312,0.0597,0.0597,622,26704
83,20182327,달링,(주)팝엔터테인먼트  Pop Entertainment,132,0.029,0.029,132,21775
84,20177266,나를 기억해,씨네그루(주)키다리이엔티  KIDARI ENT,545,0.1111,0.1188,3278,134924
85,20182701,크리미널 스쿼드,(주)이수C&E  ,362,0.083,0.083,1713,24565
86,20182494,몬태나,판씨네마(주)  Pancinema Corp.,276,0.0606,0.0626,1042,26088
87,20182360,정글번치: 최강 악당의 등장,(주)팝엔터테인먼트  Pop Entertainment,331,0.0679,0.0679,687,35403
88,20182561,당갈,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,261,0.0586,0.0603,3066,97632
89,20177478,어벤져스: 인피니티 워,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,2553,0.5754,0.5954,55547,11181178
90,20167007,살인소설,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,434,0.1046,0.1046,2963,47045
91,20176101,클레어의 카메라,(주)영화제작전원사   Jeonwonsa Film Co.,63,0.0142,0.0142,63,1463
92,20177005,레슬러,"롯데쇼핑㈜롯데엔터테인먼트  Lotte shopping Lotte Entertainment Co.,Ltd",957,0.2261,0.2551,11145,767368
93,19990050,박하사탕,CGV아트하우스  CGV ARTHOUSE,35,0.0079,0.008,68,4299
94,20183195,레오나르도 다 빈치,(주)스마일이엔티  Smile Ent.,207,0.0408,0.0408,1673,63774
95,20177962,당신의 부탁,CGV아트하우스  CGV ARTHOUSE,47,0.0111,0.0111,47,22606
96,20182990,아기곰 보보 구출 대작전,와이드 릴리즈(주)  Wide Release,207,0.0467,0.0467,541,14536
97,20189783,챔피언,워너브러더스 코리아(주)  Warner Bros. Korea,874,0.1793,0.2177,12180,1124639
98,20182984,얼리맨,(주)이수C&E  ,597,0.1178,0.1178,3355,117502
99,20176069,원더스트럭,CGV아트하우스  CGV ARTHOUSE,111,0.0264,0.0265,502,19113
100,20182385,매직빈,(주)영화사 빅  Big Film,534,0.1053,0.1053,1776,47938
101,20182989,커다랗고 커다랗고 커다란 배,예지림엔터테인먼트  ,350,0.069,0.069,2032,89577
102,20183307,샷 콜러,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,59,0.014,0.014,59,2015
103,20176067,"부르고뉴, 와인에서 찾은 인생",(주)티캐스트  TCast,55,0.0146,0.0146,638,43795
104,20183084,피터 래빗,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,599,0.1191,0.1191,7536,381565
105,20183083,중2병이라도 사랑이 하고 싶어! 테이크 온 미,와이드 릴리즈(주)  Wide Release,113,0.0267,0.0296,435,14315
106,20137352,루비 스팍스,(주)팝엔터테인먼트  Pop Entertainment,149,0.0352,0.0398,970,23967
107,20159102,씨 오브 트리스,(주)영화사오원  ,98,0.0268,0.0268,180,5449
108,20176848,데드풀 2,이십세기폭스코리아(주)  20th Century Fox Korea,1576,0.3134,0.3487,24720,3778456
109,20181823,보리 vs 매켄로,"(주)엣나인필름  Atnine Film Co., Ltd.",115,0.031,0.031,115,3062
110,20173202,버닝,CGV아트하우스  CGV ARTHOUSE,739,0.1652,0.1659,9478,523718
111,20183384,서산개척단,(주)인디플러그  Indieplug Inc,2,0.0006,0.0006,2,810
112,20183381,5.18 힌츠페터 스토리,(주)드림팩트엔터테인먼트  Dreamfact entertainment,119,0.0266,0.0266,126,7100
113,20179383,독전,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1532,0.2912,0.3126,33267,5061072
114,20182046,"안녕, 나의 소녀",오드  AUD,155,0.0312,0.0314,1735,95133
115,20183321,마징가 Z: 인피니티,(주)이수C&E  ,332,0.0668,0.0668,1364,19397
116,20183741,다이노 헌터: 티렉스VS파키리노 대격돌,(주)박수엔터테인먼트  Boxoo Entertainment  ,168,0.0338,0.0338,602,16214
117,20183801,트루스 오어 데어,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,530,0.1041,0.1197,6394,306837
118,20181603,무문관,영화사 마농(주)  ,12,0.0028,0.0028,12,18765
119,20180789,한 솔로: 스타워즈 스토리,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,569,0.1051,0.1217,5781,211374
120,20184132,"세라비, 이것이 인생!",(주)디스테이션  ,5,0.0011,0.0011,7,3051
121,20184513,위 베어 베어스: 베이비 베어스,(주)팝엔터테인먼트  Pop Entertainment,301,0.0561,0.0561,591,13114
122,20173865,데자뷰,씨네그루(주)키다리이엔티  KIDARI ENT,536,0.1127,0.1127,3188,47325
123,20176053,"스탠바이, 웬디",판씨네마(주)  Pancinema Corp.,345,0.0656,0.0783,2307,38115
124,20179106,겨울왕국의 무민,(주)팝엔터테인먼트  Pop Entertainment,2,0.0004,0.0004,2,24559
125,20178161,탐정: 리턴즈,씨제이이앤엠(주)  CJ ENM Corp.,1137,0.2291,0.2705,25122,3142086
126,20184668,디트로이트,그린나래미디어(주)  ,108,0.0233,0.0242,411,16992
127,20180943,꼬마영웅 바비,와이드 릴리즈(주)  Wide Release,317,0.0603,0.0606,630,15094
128,20179086,쥬라기 월드: 폴른 킹덤,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,1972,0.4248,0.4757,31469,5648970
129,20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,(주)이수C&E  ,588,0.1297,0.1297,3450,173368
130,20185081,아이 필 프리티,(주)홈초이스  HOME CHOICE,213,0.0459,0.0534,3412,233265
131,20184261,벅스 프렌즈,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,262,0.0578,0.0578,808,30713
132,20184782,호비와 매직 아일랜드,(주)머스트씨무비릴리징컴퍼니  ,114,0.0251,0.0251,214,9216
133,20184801,유전,(주)팝엔터테인먼트  Pop Entertainment,422,0.1068,0.1068,3433,156693
134,20184903,오션스8,워너브러더스 코리아(주)  Warner Bros. Korea,837,0.1846,0.2134,13775,1330940
135,20184845,미드나잇 선,씨네그루(주)키다리이엔티  KIDARI ENT,472,0.0968,0.1042,7280,320736
136,20172469,허스토리,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,696,0.1594,0.1594,6810,316007
137,20184101,여중생A,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",479,0.1265,0.1265,3659,84138
138,20090834,아바타,주식회사 해리슨앤컴퍼니  Harrison & Company,68,0.0137,0.0155,348,13326826
139,20184512,토니스토리2: 고철왕국의 친구들,(주)박수엔터테인먼트  Boxoo Entertainment  ,268,0.0591,0.0591,714,12415
140,20174369,변산,메가박스중앙(주)플러스엠  Megabox Plus M,763,0.174,0.174,8107,464827
141,20175527,더 펜션,(주)영화사오원  ,6,0.0016,0.0016,6,1131
142,20184699,바르다가 사랑한 얼굴들,(주)영화사 진진  JINJIN Pictures,53,0.0137,0.0137,156,5966
143,20184762,류이치 사카모토: 코다,"주식회사 씨네룩스  CINE LUX Co., Ltd.",47,0.0122,0.0122,47,3082
144,20184689,아일라,(주)영화사 빅  Big Film,371,0.0856,0.0856,2141,31622
145,20185341,마녀,워너브러더스 코리아(주)  Warner Bros. Korea,1117,0.231,0.2398,23689,3186430
146,20185648,유니콘 원정대: 비밀의 다이어리,(주)팝엔터테인먼트  Pop Entertainment,235,0.0474,0.0474,457,11579
147,20182001,개들의 섬,이십세기폭스코리아(주)  20th Century Fox Korea,109,0.0246,0.0246,213,18118
148,20184721,시카리오: 데이 오브 솔다도,㈜코리아스크린  Korea Screen Inc.,261,0.0598,0.0598,2976,217370
149,20162002,명탐정 코난: 순흑의 악몽,씨제이이앤엠(주)  CJ ENM Corp.,18,0.0041,0.0041,52,521028
150,20185001,빅샤크: 매직체인지,와이드 릴리즈(주)  Wide Release,414,0.0856,0.0856,3122,124908
151,20180522,앤트맨과 와스프,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1775,0.3861,0.3861,29716,5444801
152,20184904,드래곤 프린세스,(주)박수엔터테인먼트  Boxoo Entertainment  ,194,0.041,0.041,194,6149
153,20181443,스카이스크래퍼,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,831,0.2033,0.2033,9816,996099
154,20182564,"오늘 밤, 로맨스 극장에서",(주)디스테이션  ,155,0.0372,0.0372,593,20113
155,20175221,킬링 디어,오드  AUD,68,0.0167,0.0167,526,52337
156,20180282,속닥속닥,(주)그노스  ,314,0.0717,0.0717,2196,212507
157,20185599,꼬마 보트 토토: 타요 타요 배 타요,(주)팝엔터테인먼트  Pop Entertainment,271,0.0608,0.0608,271,12245
158,20181181,미션 임파서블: 폴아웃,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1957,0.3636,0.3686,27864,6573512
159,20167904,라라랜드,판씨네마(주)  Pancinema Corp.,60,0.0147,0.0147,60,3582015
160,20183361,인크레더블 2,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,1605,0.304,0.304,20238,3006087
161,20188042,독전: 익스텐디드 컷,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,398,0.0758,0.0762,2371,133342
162,20185621,호텔 아르테미스,판씨네마(주)  Pancinema Corp.,465,0.104,0.104,3076,76432
163,20186001,신은 죽지 않았다 3: 어둠 속의 빛,(주)영화사 그램  gram FILMS,179,0.0341,0.0365,1603,66901
164,20186282,이별의 아침에 약속의 꽃을 장식하자,(주)미디어캐슬  ,121,0.0265,0.0265,581,27514
165,20170942,인랑,워너브러더스 코리아(주)  Warner Bros. Korea,1085,0.2156,0.2156,7380,893165
166,20186202,신과함께-인과 연,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",2235,0.4147,0.4393,44124,12264817
167,20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,씨제이이앤엠(주)  CJ ENM Corp.,762,0.1416,0.1416,8191,667879
168,20187682,해적왕 작스톰,(주)삼지애니메이션  SAMG Animation,42,0.0083,0.0083,42,2654
169,20186121,어느 가족,(주)티캐스트  TCast,126,0.0234,0.0241,1529,126275
170,20181942,맘마미아!2,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,750,0.1425,0.1425,20411,2285895
171,20110027,아이 엠 러브,(주)영화사 진진  JINJIN Pictures,28,0.0052,0.0052,101,44753
172,20186501,극장판 헬로카봇 : 백악기 시대,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,758,0.1467,0.1467,7179,854230
173,20179101,공작,씨제이이앤엠(주)  CJ ENM Corp.,1317,0.2338,0.2406,27442,4966130
174,20080071,노인을 위한 나라는 없다,주식회사 해리슨앤컴퍼니  Harrison & Company,27,0.0052,0.0052,44,78755
175,20153446,너의 결혼식,메가박스중앙(주)플러스엠  Megabox Plus M,970,0.1943,0.198,22386,2807302
176,20179044,더 스퀘어,아이 엠  eye m,42,0.008,0.008,112,6477
177,20170670,목격자,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1021,0.1711,0.1808,18423,2519455
178,20187427,명탐정 코난 : 제로의 집행인,씨제이이앤엠(주)  CJ ENM Corp.,542,0.1029,0.1029,4721,384455
179,20184802,몬스터 호텔 3,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,715,0.1273,0.1273,10561,1056829
180,20187647,나를 차버린 스파이,(주)누리픽쳐스  NOORI PICTURES,278,0.0567,0.0567,3274,250718
181,20183584,메가로돈,워너브러더스 코리아(주)  Warner Bros. Korea,601,0.1,0.1043,6163,523539
182,20187641,극장판 도라에몽: 진구의 보물섬,(주)이수C&E  ,463,0.077,0.077,2862,151095
183,20187683,플로이,(주)스마일이엔티  Smile Ent.,209,0.0366,0.0366,402,23887
184,20187657,마일22,(주)팝엔터테인먼트  Pop Entertainment,203,0.0403,0.0406,1094,59282
185,20185046,서치,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,1096,0.2134,0.2544,22499,2944133
186,20177537,상류사회,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",867,0.1803,0.1803,11451,763097
187,20139221,그래비티,주식회사 해리슨앤컴퍼니  Harrison & Company,52,0.0112,0.0112,402,3270013
188,20189362,업그레이드,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,220,0.0428,0.0501,2425,186532
189,20189261,어드리프트:우리가 함께한 바다,(주)이수C&E  ,490,0.0946,0.1051,2699,51643
190,20188446,양말요정 휴고의 대모험,와이드 릴리즈(주)  Wide Release,354,0.0689,0.0689,843,18579
191,20177308,협상,씨제이이앤엠(주)  CJ ENM Corp.,918,0.1533,0.2102,15547,1963565
192,20156554,물괴,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1184,0.3029,0.3175,9810,717819
193,20172204,명당,메가박스중앙(주)플러스엠  Megabox Plus M,1115,0.1872,0.2292,15163,2070288
194,20188581,더 프레데터,이십세기폭스코리아(주)  20th Century Fox Korea,582,0.1604,0.1604,3852,168222
195,20176122,안시성,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1538,0.2568,0.314,28844,5424686
196,20179189,암수살인,(주)쇼박스  Showbox Corp,1177,0.2386,0.2701,26816,3782152
197,20189262,더 넌,워너브러더스 코리아(주)  Warner Bros. Korea,824,0.1384,0.1523,9629,1009427
198,20188567,더 게스트,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,228,0.0531,0.0531,228,6025
199,20188342,바니부기: 드래곤 에그를 찾아서,(주)박수엔터테인먼트  Boxoo Entertainment  ,281,0.0642,0.0642,561,13649
200,20180367,인디애니페스트 2018 새벽비행 2,-,5,0.0011,0.0011,5,2806
201,20167903,원더풀 고스트,(주)제이앤씨미디어그룹  ,351,0.0641,0.0787,3289,443121
202,20189462,셜록 놈즈,씨네그루(주)키다리이엔티  KIDARI ENT,440,0.086,0.086,2193,76201
203,20173734,죄 많은 소녀,CGV아트하우스  CGV ARTHOUSE,50,0.0107,0.0107,50,10995
204,20188242,타샤 튜더,(주)마노엔터테인먼트  Mano Entertainment Inc.,25,0.0061,0.0061,46,24436
205,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,(주)이수C&E  ,292,0.049,0.049,1723,35496
206,20189268,루이스,(주)스마일이엔티  Smile Ent.,325,0.0546,0.0546,2673,89501
207,20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,씨제이이앤엠(주)  CJ ENM Corp.,454,0.0765,0.0765,3695,151054
208,20185222,체실 비치에서,그린나래미디어(주)  ,49,0.0095,0.0095,96,5549
209,20180610,"FIWOM 2018 웃어봐+수잔과 남자+내일, 또 내일, 그리고 또 내일+여자1 여자2 여자3+루비 파샤의 전설",-,3,0.0006,0.0006,3,1452
210,20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,(주)엠제이픽쳐스  ,179,0.0301,0.0301,1026,45640
211,20189743,파이널 포트레이트,(주)팝엔터테인먼트  Pop Entertainment,55,0.012,0.012,155,9778
212,20189067,미쓰백,(주)리틀빅픽쳐스  Little Big Pictures,671,0.1296,0.1538,13793,715194
213,20189123,곰돌이 푸 다시 만나 행복해,월트디즈니컴퍼니코리아 유한책임회사  The Walt Disney Company Korea,536,0.1047,0.1069,8781,488795
214,20177221,베놈,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점  Sony Pictures Releasing International,1306,0.2551,0.2647,23721,3873548
215,20180523,스타 이즈 본,워너브러더스 코리아(주)  Warner Bros. Korea,555,0.1074,0.1256,10404,465822
216,20180770,다이노 어드벤처2: 육해공 공룡 대백과,(주)박수엔터테인먼트  Boxoo Entertainment  ,322,0.0646,0.0646,904,34822
217,20180931,극장판 가면라이더 이그제이드: 트루 엔딩,(주)이수C&E  ,326,0.063,0.063,614,18318
218,20189331,리즈와 파랑새,(주)디스테이션  ,214,0.0414,0.0453,401,8679
219,20187521,펭귄 하이웨이,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,338,0.0653,0.0653,1273,25631
220,20147727,그랜드 부다페스트 호텔,(주)피터팬픽쳐스  Peterpan Pictures,38,0.0076,0.0088,236,799351
221,20184678,배반의 장미,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",457,0.0997,0.0997,2823,38923
222,20188661,에브리데이,그린나래미디어(주)  ,128,0.0294,0.0294,851,26937
223,20181262,노크: 초대받지 않은 손님,(주)삼백상회  ,266,0.0583,0.0584,1675,23371
224,20180624,킨: 더 비기닝,판씨네마(주)  Pancinema Corp.,151,0.0345,0.0345,296,5294
225,20186321,퍼스트맨,유니버설픽쳐스인터내셔널 코리아(유)  Universal Pictures International Korea,1190,0.2467,0.2479,10873,650340
226,20174981,창궐,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1351,0.2846,0.3088,15138,1595081
227,20180628,액슬,(주)팝엔터테인먼트  Pop Entertainment,142,0.0274,0.0274,283,12152
228,20189281,폴란드로 간 아이들,커넥트픽쳐스(주)  CONNECT PICTURES INC.,181,0.0402,0.0402,368,21866
229,20177538,완벽한 타인,"롯데컬처웍스(주)롯데엔터테인먼트  Lotte Cultureworks Lotte Entertainment Co.,Ltd",1324,0.292,0.3309,27291,4889990
230,20010291,해리포터와 마법사의 돌,워너브러더스 코리아(주)  Warner Bros. Korea,33,0.0076,0.0087,688,267950
231,20182403,크레이지 리치 아시안,워너브러더스 코리아(주)  Warner Bros. Korea,531,0.1119,0.1142,2981,131883
